Name,Date,Close price
BUMIX,02/01/2006,1779.15
BUMIX,03/01/2006,1781.28
BUMIX,04/01/2006,1804.5
BUMIX,05/01/2006,1826.6
BUMIX,06/01/2006,1834.91
BUMIX,09/01/2006,1887.73
BUMIX,10/01/2006,1894.08
BUMIX,11/01/2006,1908.97
BUMIX,12/01/2006,1918.43
BUMIX,13/01/2006,1889.77
BUMIX,16/01/2006,1900.99
BUMIX,17/01/2006,1918.96
BUMIX,18/01/2006,1921.95
BUMIX,19/01/2006,1929.33
BUMIX,20/01/2006,1922.52
BUMIX,23/01/2006,1926.34
BUMIX,24/01/2006,1910.76
BUMIX,25/01/2006,1920.96
BUMIX,26/01/2006,1897.78
BUMIX,27/01/2006,1932.43
BUMIX,30/01/2006,1928.05
BUMIX,31/01/2006,1917.51
BUMIX,01/02/2006,1951.98
BUMIX,02/02/2006,1984.25
BUMIX,03/02/2006,1963.46
BUMIX,06/02/2006,1990.72
BUMIX,07/02/2006,2020.39
BUMIX,08/02/2006,2035.83
BUMIX,09/02/2006,2086.51
BUMIX,10/02/2006,2089.86
BUMIX,13/02/2006,2100.12
BUMIX,14/02/2006,2043.69
BUMIX,15/02/2006,2068.69
BUMIX,16/02/2006,2100.75
BUMIX,17/02/2006,2108.87
BUMIX,20/02/2006,2112.3
BUMIX,21/02/2006,2101.73
BUMIX,22/02/2006,2103.56
BUMIX,23/02/2006,2085.48
BUMIX,24/02/2006,2099.54
BUMIX,27/02/2006,2129.98
BUMIX,28/02/2006,2125.66
BUMIX,01/03/2006,2119.14
BUMIX,02/03/2006,2113.05
BUMIX,03/03/2006,2099.75
BUMIX,06/03/2006,2102.03
BUMIX,07/03/2006,2060.9
BUMIX,08/03/2006,2041.57
BUMIX,09/03/2006,2045.87
BUMIX,10/03/2006,2016.61
BUMIX,13/03/2006,2017.79
BUMIX,14/03/2006,1998.64
BUMIX,16/03/2006,2034.25
BUMIX,17/03/2006,2098.07
BUMIX,20/03/2006,2113.58
BUMIX,21/03/2006,2084.55
BUMIX,22/03/2006,2092.49
BUMIX,23/03/2006,2111.6
BUMIX,24/03/2006,2152.68
BUMIX,27/03/2006,2172.64
BUMIX,28/03/2006,2173.06
BUMIX,29/03/2006,2215.03
BUMIX,30/03/2006,2218.51
